ParentPath,FileName,FileSize
.,$Recycle.Bin,
.,inetpub,
.,PerfLogs,
.,Program Files,
.,Program Files (x86),
.,ProgramData,
.,Users,
.,Windows,
.,bootmgr,384322
.,BOOTNXT,1
.\inetpub,custerr,
.\inetpub,history,
.\inetpub,logs,
.\inetpub,temp,
.\inetpub,wwwroot,
.\inetpub\custerr,en-US,
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,oskmenu,
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,osknav,
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,osknumpad,
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,oskpred,
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,symbols,
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,auxpad.xml,212
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,insert.xml,215
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,keypad.xml,693
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,main.xml,44506
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,oskclearui.xml,221
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,oskmenu.xml,215
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,osknav.xml,213
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,osknumpad.xml,219
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,oskpred.xml,215
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions,symbols.xml,591
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\auxpad,auxbase.xml,1434
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\insert,insertbase.xml,903
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\keypad,ea.xml,384
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\keypad,keypadbase.xml,903
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\keypad,kor-kor.xml,392
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base.xml,3333
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,baseAltGr_rtl.xml,247
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base_altgr.xml,3524
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base_ca.xml,3529
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base_heb.xml,738
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base_jpn.xml,804
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base_kor.xml,488
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,base_rtl.xml,617
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,ja-jp.xml,16616
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,ko-kr.xml,15097
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,zh-changjei.xml,9803
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,zh-dayi.xml,11067
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\main,zh-phonetic.xml,10947
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\oskclearui,oskclearuibase.xml,737
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\oskmenu,oskmenubase.xml,471
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\osknav,osknavbase.xml,1069
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\osknumpad,osknumpadbase.xml,1645
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\oskpred,oskpredbase.xml,924
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\symbols,ea-sym.xml,694
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\symbols,ja-jp-sym.xml,805
.\Program Files\Common Files\microsoft shared\ink\fsdefinitions\symbols,symbase.xml,3823
.\Program Files\Common Files\microsoft shared\ink\he-IL,tipresx.dll.mui,9728
.\Program Files\Common Files\microsoft shared\ink\hr-HR,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\hu-HU,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\it-IT,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\ja-JP,tipresx.dll.mui,7680
.\Program Files\Common Files\microsoft shared\ink\ko-KR,tipresx.dll.mui,7680
.\Program Files\Common Files\microsoft shared\ink\LanguageModel,chstic.dgml,763
.\Program Files\Common Files\microsoft shared\ink\lt-LT,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\lv-LV,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\nb-NO,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\nl-NL,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\pl-PL,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\pt-BR,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\pt-PT,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\ro-RO,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\ru-RU,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\sk-SK,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\sl-SI,tipresx.dll.mui,10752
.\Program Files\Common Files\microsoft shared\ink\sr-Latn-CS,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\sr-Latn-RS,tipresx.dll.mui,9728
.\Program Files\Common Files\microsoft shared\ink\sv-SE,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\th-TH,tipresx.dll.mui,9728
.\Program Files\Common Files\microsoft shared\ink\tr-TR,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\uk-UA,tipresx.dll.mui,10240
.\Program Files\Common Files\microsoft shared\ink\zh-CN,tipresx.dll.mui,7168
.\Program Files\Common Files\microsoft shared\ink\zh-HK,tipresx.dll.mui,7168
.\Program Files\Common Files\microsoft shared\ink\zh-TW,tipresx.dll.mui,7168
.\Program Files\Common Files\microsoft shared\MSInfo,en-US,
.\Program Files\Common Files\microsoft shared\MSInfo,msinfo32.exe,369664
.\Program Files\Common Files\microsoft shared\MSInfo\en-US,msinfo32.exe.mui,29696
.\Program Files\Common Files\microsoft shared\Stationery,Bears.htm,255
.\Program Files\Common Files\microsoft shared\Stationery,Bears.jpg,1074
.\Program Files\Common Files\microsoft shared\Stationery,Desktop.ini,645
.\Program Files\Common Files\microsoft shared\Stationery,Garden.htm,231
.\Program Files\Common Files\microsoft shared\Stationery,Garden.jpg,23871
.\Program Files\Common Files\microsoft shared\Stationery,Green Bubbles.htm,237
.\Program Files\Common Files\microsoft shared\Stationery,GreenBubbles.jpg,6406
.\Program Files\Common Files\microsoft shared\Stationery,Hand Prints.htm,235
.\Program Files\Common Files\microsoft shared\Stationery,HandPrints.jpg,4222
.\Program Files\Common Files\microsoft shared\Stationery,Orange Circles.htm,237
