ParentPath,FileName,FileSize
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,kok.pak,923796
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,lb.pak,482666
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,lo.pak,935563
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,lt.pak,497618
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,lv.pak,486174
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,mi.pak,472476
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,mk.pak,758479
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ml.pak,1155618
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,mr.pak,957872
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ms.pak,440746
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,mt.pak,500078
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,nb.pak,431990
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ne.pak,1019478
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,nl.pak,461537
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,nn.pak,432690
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,or.pak,1048378
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,pa.pak,960892
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,pl.pak,520561
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,pt-BR.pak,464662
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,pt-PT.pak,478142
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,qu.pak,465966
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ro.pak,492478
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ru.pak,788293
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sk.pak,508755
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sl.pak,478900
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sq.pak,487085
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sr-Cyrl-BA.pak,742855
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sr-Latn-RS.pak,475361
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sr.pak,746698
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,sv.pak,438079
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ta.pak,1156434
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,te.pak,1036879
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,th.pak,912749
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,tr.pak,471422
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,tt.pak,750046
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ug.pak,717337
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,uk.pak,768290
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,ur.pak,692976
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,vi.pak,540205
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,zh-CN.pak,377504
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Locales,zh-TW.pak,387005
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MEIPreload,manifest.json,228
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MEIPreload,preloaded_data.pb,7022
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,microsoft_apis.dll,417168
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,microsoft_shell_integration.dll,466848
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,mip_core.dll,3381080
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,mip_protection_sdk.dll,3283272
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MLModels,autofill_labeling.ort,15864
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MLModels,autofill_labeling_email.ort,20792
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MLModels,autofill_labeling_features.txt,1538
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MLModels,autofill_labeling_features_email.txt,3084
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\MLModels,nexturl.ort,135688
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,mojo_core.dll,1613712
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge.dll,179813792
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge.dll.sig,1389
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge.exe,3311504
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge.exe.sig,1389
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge_100_percent.pak,912147
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge_200_percent.pak,1574989
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge_elf.dll,1297808
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge_proxy.exe,1107856
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedge_pwa_launcher.exe,1601424
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedgewebview2.exe,2851216
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msedgewebview2.exe.sig,1389
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,msvcp140.dll,573256
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,nacl_irt_x86_64.nexe,3868448
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,notification_helper.exe,1315744
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,notification_helper.exe.manifest,1449
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Notifications,SoftLandingAssetDark.gif,162551
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\Notifications,SoftLandingAssetLight.gif,128230
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,oneauth.dll,4036512
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,oneds.dll,3267984
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,onnxruntime.dll,2053536
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,onramp.dll,435616
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\PlayReadyCdm\_platform_specific\win_x64,playreadycdm.dll,1414560
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,pwahelper.dll,2424720
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67,pwahelper.exe,1071008
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks,Edge.dat.DATA,12288
.\Program Files (x86)\Microsoft\Edge\Application\92.0.902.67\ResiliencyLinks,EdgeWebView.dat.DATA,8192
